context,question,answers,label,id_string
"It is difficult to keep deep wounds free of bacteria. Even strong antibiotics fail to kill the bacteria that live in such wounds. However, many physicians have succeeded in eliminating bacteria from deep wounds by packing the wound with a sweet substance like sugar.","Which one of the following, if true, most helps to explain why treating deep wounds with sugar as described above is successful?","["Bacteria that live in deep wounds thrive in a moist environment, and sugar has a dehydrating effect.", "Sugar that is nearly pure is readily available for use in medical treatments.", "Many kinds of bacteria can use sugar as a nutrient and will reproduce rapidly when sugar is available to them.", "Some foods that contain sugar can weaken the effects of certain antibiotics.", "Strong antibiotics were developed only recently, but the use of sugar as a treatment for wounds dates back to ancient times."]",0,199106_3-LR1_1_1
"People who are red/green color-blind cannot distinguish between green and brown. Gerald cannot distinguish between green and brown. Therefore Gerald is red/green color-blind.","Which one of the following most closely parallels the reasoning in the argument presented in the passage?","["People who are fair-skinned suffer from sunburn. William is fair-skinned. Therefore William suffers from sunburn.", "People who are suffering from sinusitis lose their sense of smell. Mary has lost her sense of smell. Therefore Mary is suffering from sinusitis.", "People who have suffered from jaundice cannot become blood donors. Jean is a blood donor. Therefore Jean has not suffered from jaundice.", "People who are color-blind cannot become airline pilots. Arthur is color-blind. Therefore Arthur cannot become an airline pilot.", "People who are diabetic cannot eat large amounts of sugar. Freda is diabetic. Therefore Freda is on a special diet."]",1,199106_3-LR1_2_2
"Early in this century Alfred Wegener developed the concept of continental drift. His ideas were rejected vehemently because he postulated no identifiable force strong enough to make the continents move. We have come to accept Wegener's theory, not because we have pinpointed such a force, but because new instruments have finally allowed continental movement to be confirmed by observation.","The passage best illustrates which one of the following statements about science?","["The aim of science is to define the manifold of nature within the terms of a single harmonious theory.", "In accepting a mathematical description of nature, science has become far more accurate at identifying underlying forces.", "The paradox of science is that every improvement in its measuring instruments seems to make adequate theories harder to work out.", "Science, employing statistics and the laws of probability, is concerned not with the single event but with mass behavior.", "When the events a theory postulates are detected, the theory is accepted even without an explanation of how those events are brought about."]",4,199106_3-LR1_3_3
"The theory of military deterrence was based on a simple psychological truth, that fear of retaliation makes a would-be aggressor nation hesitate before attacking and is often sufficient to deter it altogether from attacking. Clearly, then, to maintain military deterrence, a nation would have to be believed to have retaliatory power so great that a potential aggressor nation would have reason to think that it could not defend itself against such retaliation.","If the statements above are true, which one of the following can be properly inferred?","["A would-be aggressor nation can be deterred from attacking only if it has certain knowledge that it would be destroyed in retaliation by the country it attacks.", "A nation will not attack another nation if it believes that its own retaliatory power surpasses that of the other nation.", "One nation's failing to attack another establishes that the nation that fails to attack believes that it could not withstand a retaliatory attack from the other nation.", "It is in the interests of a nation that seeks deterrence and has unsurpassed military power to let potential aggressors against it become aware of its power of retaliatory attack.", "Maintaining maximum deterrence from aggression by other nations requires that a nation maintain a retaliatory force greater than that of any other nation."]",3,199106_3-LR1_4_4
"To the Editor: In 1960, an astronomer proposed a mathematical model for determining whether extraterrestrial life exists. It was based on the assumptions that life as we know it could exist only on a planet and that many stars are, like our Sun, orbited by planets. On the basis that there are nine planets in our solar system and one of them has life as we know it, the astronomer predicted that there are as many as one million extraterrestrial civilizations across all solar systems. Yet astronomers to date have not detected even one planet outside our solar system. This indicates that the astronomer's model is wrong, and life as we know it exists only on the planet Earth. Clay Moltz.","Which one of the following, if accepted by Clay Moltz, would require him to reconsider his conclusion?","["Forms of life other than life as we know it exist on other planets.", "There are many stars that are not orbited by planets.", "Detecting planets outside our solar system requires more sophisticated instruments than are currently available.", "The soundness of the conclusion reached by applying a mathematical model depends on the soundness of the assumptions on which the model is based.", "Due to sheer distances and expanses of space involved, any extraterrestrial civilization would have great difficulty communicating with ours."]",2,199106_3-LR1_5_5
"If Max were guilty, he would not ask the police to investigate. Therefore, his asking the police to investigate shows that he is not guilty.","The logical structure of the argument above is most similar to which one of the following?","["If Lucille were in the next room, I would not be able to see her. Therefore, the fact that I can see her shows that she is not in the next room.", "If Sam were rich, he would not spend his vacation in Alaska. Therefore, his spending his vacation in the Bahamas shows that he is rich.", "If Joe were over 40 he would not want to learn to ski. Therefore, the fact that he does not want to learn to ski shows that he is over 40.", "If Mark were a good cook, he would not put cinnamon in the chili. Therefore, the fact that he is not a good cook shows that he put cinnamon in the chili.", "If Sally were sociable, she would not avoid her friends. Therefore, the fact that she is sociable shows that she does not avoid her friends."]",0,199106_3-LR1_6_6
"A population of game ducks at a western lake contains 55 males to every 45 females, while a population of game ducks at an eastern lake contains 65 males for every 35 females. Among those ducks that have not yet bred there are only slightly more males than females, but among older ducks the number of males greatly exceeds the number of females. Because there are appreciably more males among adult ducks than among young ducks, we can infer that the greater the disparity in overall sex ratios, the greater the percentage of older male ducks in the population.","Which one of the following can be inferred from the passage?","["The population of game ducks at the western lake contains a lower percentage of adult males than the population at the eastern lake contains.", "The population of game ducks at the eastern lake contains a higher percentage of nonadult game ducks than the population at the western lake contains.", "The total number of male game ducks is higher in the eastern lake's population than in the western lake's population.", "The number of nonadult ducks hatched in a breeding season is higher in the eastern lake's population than in the western lake's population.", "Adult female game ducks outnumber nonadult female game ducks in the eastern lake's population."]",0,199106_3-LR1_7_7
"The common procedure for determining whether a food additive should be banned from use is to compare its health-related benefits with its potential risks. Yellow Dye No. 5, an additive used to color lemon soda, might cause allergic reactions in a few consumers. For most consumers of lemon soda, however, the coloring enhances their enjoyment of the beverage. This particular additive should not be banned, therefore, because its benefits greatly outweigh its risks.","A flaw in the argument is that the author","["implies that the dye entails no health-related risks", "treats enjoyment of a beverage as a health-related benefit", "ignores the possibility that some food additives are harmful to most people", "bases the argument on an unproven claim regarding a danger in using Yellow Dye No. 5", "presumes that most consumers heed the warning labels on beverage containers"]",1,199106_3-LR1_8_8
"Fines levied against those responsible for certain environmentally damaging accidents are now so high that it costs a company responsible for such an accident more to pay the fine than it would have cost to adopt measures that would have prevented the accident. Therefore, since businesses value their profits, those that might have such accidents will now install adequate environmental safeguards.","Which one of the following, if true, most seriously weakens the argument?","["Businesses generally greatly underestimate the risk of future accidents.", "Businesses are as concerned with long-term as they are with short-term strategies for maximizing profits.", "Businesses generally do the environmentally \"right\" thing only if doing so makes good business sense.", "Businesses treat fines that are levied against them as an ordinary business expense.", "Businesses are learning to exploit the public's environmental awareness in promoting themselves."]",0,199106_3-LR1_9_9
"Even in a democracy, it is necessary to restrict the dissemination of advanced technological knowledge that is of commercial or national-security value. Dissemination to certain countries, those that are or will be competitors or enemies, should be selectively prohibited. There must, however, be free exchange of scientific information.","In order to act in accordance with the position above, it would be necessary to be able to rely on each of the following EXCEPT:","["It is possible to distinguish with confidence, despite any changes in the international environment, friendly or noncompetitive from hostile or competitive nations.", "In a democracy, it is not necessary that the public have detailed knowledge of the country's advanced technology in order, for example, to make informed decisions about the direction public policy should take.", "In most fields of science, basic scientific research is further advanced in countries that are democracies than in countries that are not democracies.", "In each field of science, it is possible to distinguish scientific information from advanced technological knowledge that is of commercial or national-security value.", "In cases where a company that uses advanced technology is a multinational organization, it is possible to keep information about the technology from being passed across designated national boundaries."]",2,199106_3-LR1_10_10
"Water vapor evaporated from the ocean contains a greater proportion of oxygen-16 and a smaller proportion of the heavier oxygen-18 than does seawater. Normally, this phenomenon has no effect on the overall composition of the ocean, because evaporated seawater returns to the ocean through precipitation. During an ice age, however, a large amount of precipitation falls on ice caps, where it is trapped as ice.","Which one of the following conclusions about a typical ice age is most strongly supported by the statements above?","["The proportions of oxygen-16 and oxygen-18 are the same in vapor from seawater as in the seawater itself.", "The concentration of oxygen-18 in seawater is increased.", "Rain and snow contain relatively more oxygen-16 than they do in interglacial periods.", "During the ice age, more of the Earth's precipitation falls over land than falls over the ocean.", "The composition of seawater changes more slowly than it does in interglacial periods."]",1,199106_3-LR1_11_11
"Some of the most prosperous nations in the world have experienced a pronounced drop in national savings rates—the percentage of after-tax income an average household saves. This trend will undoubtedly continue if the average age of these nations' populations continues to rise, since older people have fewer reasons to save than do younger people.","Which one of the following indicates an error in the reasoning leading to the prediction above?","["It fails to specify the many reasons younger people have for saving money, and it fails to identify which of those reasons is the strongest.", "It assumes that a negative savings rate—the result of the average household's spending all of its after-tax income as well as some of its existing savings—cannot ever come about in any nation.", "It fails to cite statistics showing that the average age of the population of certain nations is rising.", "It only takes into account the comparative number of reasons older and younger people, respectively, have for saving, and not the comparative strength of those reasons.", "It uses after-tax income as the base for computing the national savings rate without establishing by argument that after-tax income is a more appropriate base than before-tax income."]",3,199106_3-LR1_12_12
"The term "pit bull" does not designate a breed of dog, as do the terms "German shepherd" and "poodle." It is like the terms "Seeing-Eye dog" and "police dog," which designate dogs according to what they do. If you take two German shepherds and place them side by side, you cannot tell by appearance alone which is the police dog and which is the Seeing-Eye dog.","Which one of the following is the main point of the passage?","["German shepherds can be pit bulls.", "Pit bulls can be distinguished from other kinds of dogs by appearance alone.", "A dog is a pit bull because of what it does, not because of its breed.", "German shepherds can function both as police dogs and as Seeing-Eye dogs.", "Some breeds of dogs cannot be distinguished from other breeds of dogs by appearance alone."]",2,199106_3-LR1_13_13
"Historically, monetary systems have developed only in population centers with marketplaces. Through the fourth century B.C., Mesopotamian cities engaged in trade, but had never had marketplaces. By that period, however, Greek cities all had marketplaces, or agorae. The Greek cities' agorae were centrally located and goods were traded there either for money or for commodities.","If all of the statements in the passage are true, then which one of the following must also be true?","["In the fourth century B.C., Greek cities were the only population centers with monetary systems.", "The development of monetary systems has historically led to the development of marketplaces.", "In the fourth century B.C., the Greeks and the Mesopotamians traded with each other.", "After the fourth century B.C., Mesopotamian cities had marketplaces and monetary systems.", "The Mesopotamian cities of the fourth century B.C. did not have monetary systems."]",4,199106_3-LR1_14_14
